IP,DNS,NetBIOS,OS,QID,Title,Type,Severity,Port,Protocol,CVE ID,CVSS Base,CVSS3 Base,Threat,Impact,Solution,First Found,Last Found,Category
10.10.1.11,web-prod-01.meridian.gov,WEB-PROD-01,Linux,370545,OpenSSL Multiple Vulnerabilities,Vulnerability,5,443,TCP,"CVE-2022-3786,CVE-2022-3602",9.0,9.8,A buffer overflow was found in the X.509 certificate verification code in OpenSSL 3.0.x prior to 3.0.7.,Remote code execution is possible.,Upgrade OpenSSL to 3.0.7 or later.,2026-01-15,2026-05-27,General remote services
10.10.1.11,web-prod-01.meridian.gov,WEB-PROD-01,Linux,38170,Apache HTTP Server Multiple Vulnerabilities,Vulnerability,5,443,TCP,"CVE-2022-31813,CVE-2022-26377",8.5,9.1,Multiple vulnerabilities affecting Apache HTTP Server prior to 2.4.54 including path traversal.,Server compromise possible.,Upgrade Apache HTTP Server to 2.4.54 or later.,2026-02-01,2026-05-27,Web Server
10.10.1.11,web-prod-01.meridian.gov,WEB-PROD-01,Linux,90413,TLS 1.1 Protocol Supported,Vulnerability,3,443,TCP,CVE-2011-3389,5.0,6.5,The target accepts TLS 1.1 connections. TLS 1.1 has been deprecated by NIST.,Data may be decrypted by attackers.,Disable TLS 1.1 and configure TLS 1.2 or 1.3 only.,2025-12-01,2026-05-27,General remote services
10.10.1.11,web-prod-01.meridian.gov,WEB-PROD-01,Linux,86477,SSL Certificate - Signature Verification Failed Policy,Vulnerability,2,443,TCP,,3.5,4.3,The SSL certificate cannot be trusted because it is self-signed.,Man-in-the-middle attacks are possible.,Obtain a certificate from a trusted certificate authority.,2026-03-01,2026-05-27,General remote services
10.10.1.12,api-prod-01.meridian.gov,API-PROD-01,Linux,146784,Linux sudoers - Heap-Based Buffer Overflow (Baron Samedit),Vulnerability,5,0,TCP,CVE-2021-3156,7.2,7.8,A heap-based buffer overflow exists in sudo versions prior to 1.9.5p2 when processing escape characters in sudoers files.,Local privilege escalation to root.,Upgrade sudo to version 1.9.5p2 or later.,2026-01-20,2026-05-27,Local
10.10.1.12,api-prod-01.meridian.gov,API-PROD-01,Linux,376812,OpenSSH < 9.0 Multiple Vulnerabilities,Vulnerability,4,22,TCP,CVE-2022-28739,5.0,7.5,The version of OpenSSH running on the remote host is prior to 9.0 and is affected by multiple vulnerabilities.,Information disclosure and denial of service.,Upgrade OpenSSH to version 9.0 or later.,2026-01-20,2026-05-27,General remote services
10.10.1.12,api-prod-01.meridian.gov,API-PROD-01,Linux,197606,SSH Weak Message Authentication Code Algorithms,Vulnerability,2,22,TCP,,2.6,5.3,The SSH server is configured to use HMAC-MD5 or other weak MAC algorithms.,Weakened connection security.,Configure SSH to use only strong MAC algorithms such as HMAC-SHA2-256.,2025-11-15,2026-05-27,General remote services
10.10.1.12,api-prod-01.meridian.gov,API-PROD-01,Linux,90043,Missing 'Content-Security-Policy' HTTP Header,Vulnerability,2,443,TCP,,3.5,4.3,The application does not set a Content-Security-Policy header. This increases risk of XSS attacks.,Cross-site scripting may be possible.,Implement a strict Content-Security-Policy header.,2026-02-10,2026-05-27,Web Application
10.10.1.20,db-prod-01.meridian.gov,DB-PROD-01,Linux,370274,PostgreSQL Multiple Vulnerabilities,Vulnerability,5,5432,TCP,"CVE-2022-2625,CVE-2022-1552",6.5,8.8,Multiple vulnerabilities in PostgreSQL versions prior to 14.5 / 13.8 / 12.12.,SQL injection and privilege escalation.,Upgrade PostgreSQL to the latest supported version.,2026-02-01,2026-05-27,Database
10.10.1.20,db-prod-01.meridian.gov,DB-PROD-01,Linux,155600,Linux Kernel Privilege Escalation (Dirty Pipe),Vulnerability,5,0,TCP,CVE-2022-0847,7.2,7.8,The Linux kernel versions 5.8 through 5.16.11 allow a local user to overwrite arbitrary files even those marked read-only.,Local privilege escalation.,Update the Linux kernel to a patched version.,2026-01-10,2026-05-27,Local
